Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
J.R.R. Tolkien: Master of Fantasy (Lerner Biographies),David R. Collins,Lerner Publishing Group,1992-10-01,Hardcover,120,4.32
The Healer's War: A Fantasy Novel of Vietnam,Elizabeth Ann Scarborough,Open Road Media Sci-Fi & Fantasy,2014-09-02,Kindle Edition,358,3.98
Final Fantasy X: The Official Strategy Guide,Piggyback,Piggyback Interactive,2002-05-01,Paperback,235,4.01
Drawing & Painting Fantasy Worlds,Finlay Cowan,Writer's Digest Books,2006-05-25,Paperback,124,3.69
"Fantasy Magazine, Issue 60 (Dec. 2016, People of Colo(u)r Destroy Fantasy! Special Issue) (Volume 60)",Daniel José Older,John Joseph Adams,2016-12-01,Kindle Edition,175,4.68
Gentlemen of the Road: A Tale of Adventure,Michael Chabon,Del Rey,2008-09-30,Paperback,217,3.56
Hope and Red (The Empire of Storms),Jon Skovron,Bragelonne,2016-06-28,Kindle Edition,512,4.07
"Final Fantasy X-2, Official Strategy Guide",Dan Birlew,BRADY GAMES,2003-11-13,Kindle,352,4.19
"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,2014-02-20,Paperback,384,4.11
The Dreamer and the Fantasy Relationship,Natalie Lue,CreateSpace Independent Publishing Platform,2013-10-8,Hardcover,248,4.29
Writers Workshop of Science Fiction & Fantasy,Michael Knost,Seventh Star Press,2013-05-14,ebook,243,4.31
"The Year's Best Dark Fantasy & Horror, 2015 Edition",Paula Guran,Prime Books,2015-07-03,Kindle Edition,576,3.56
The Year’s Best Dark Fantasy & Horror 2016 Edition,Paula Guran,Prime Books,2015-07-03,Kindle Edition,552,3.96
The Year’s Best Dark Fantasy & Horror 2017 Edition,Paula Guran,Prime Books,2015-07-03,Kindle Edition,552,3.3
Fantasy Football for Dummies,Martin Signore,For Dummies,2007-06-01,Paperback,280,4.06
The Mammoth Book of Comic Fantasy (Mammoth Books),Mike Ashley,Constable & Robinson,1998-05-10,Paperback,503,2.64
Animals Real and Imagined: The Fantasy of What Is and What Might Be,Terryl Whitlatch,Design Studio Press,2010-12-01,Paperback,160,4.68
Sweet Life: Erotic Fantasies for Couples,Violet Blue,Cleis Press,2001-10-12,Paperback,225,3.78
Lightning Returns: Final Fantasy XIII: The Complete Official Guide,Piggyback,Prima Games,2012-01-31,Paperback,312,4.48
Final Fantasy XIII-2: The Complete Official Guide,Piggyback,Prima Games,2012-01-31,Paperback,304,4.43
The Guide to Writing Fantasy and Science Fiction: 6 Steps to Writing and Publishing Your Bestseller!,Philip Athans,Adams Media,2010-07-18,Paperback,256,3.96
Kanye West's My Beautiful Dark Twisted Fantasy (33 1/3),Kirk Walker Graves,Bloomsbury Academic,2014-06-19,Paperback,152,3.47
John Howe Fantasy Drawing Workshop,John Howe,Impact,2009-10-01,Paperback,128,4.3
Raptor: Urban Fantasy Noir (Volume 1),B.A. Bostick,Enchanted Indie Press,2017-04-23,Kindle Edition,524,4.46
"Male Fantasies: Volume 1: Women, Floods, Bodies, History",Klaus Theweleit,Univ Of Minnesota Press,1987-04-01,Paperback,544,3.84
The Best American Science Fiction and Fantasy 2017 (The Best American Series ®),John Joseph Adams,Mariner Books,2017-10-03,Paperback,369,3.48
Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,Seven Seas,2017-10-10,Kindle,280,4.53
Final Fantasy XIII: Complete Official Guide - Standard Edition,Piggyback,Piggyback,2010-03-09,Hardcover,264,4.46
"Final Fantasy Type-0 Side Story, Vol. 1: The Ice Reaper (Final Fantasy 0-Type)",Tetsuya Nomura,Yen Press,2015-07-21,Paperback,176,4.48
Fantasy,Ben Fama,Ugly Duckling Presse,2015-04-01,Paperback,88,4.34
Fantasy Genesis: A Creativity Game for Fantasy Artists,Chuck Lukacs,IMPACT,2010-03-10,Paperback,144,4.39
"The Best Science Fiction and Fantasy of the Year, Volume 4",Jonathan Strahan,Night Shade Books,2009-05-01,Paperback,503,3.76
"Fantasy Freaks and Gaming Geeks: An Epic Quest for Reality Among Role Players, Online Gamers, and Other Dwellers of Imaginary Realms",Ethan Gilsdorf,Lyons Press,2009-09-01,Hardcover,336,3.5
Final Fantasy Type-0,Hiroki Chiba,Yen Press,2015-09-22,Paperback,192,3.77
"The Best Science Fiction and Fantasy of the Year, Volume 3",Jonathan Strahan,Night Shade Books,2009-05-01,Paperback,478,3.78
Who's Been Sleeping in Your Head?: The Secret World of Sexual Fantasy,Brett Kahr,Basic Books (AZ),2008-02-01,Hardcover,502,3.68
Grimgar of Fantasy and Ash: Volume 2,Ao Jyumonji,J-Novel Club,2017-08-08,Kindle Edition,280,4.2
Beyond My Control: Forbidden Fantasies in an Uncensored Age,Nancy Friday,Sourcebooks,2009-04-01,Paperback,280,3.24
"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Seven Seas,2017-10-10,Kindle,252,4.12
"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Seven Seas,2017-12-12,Kindle,252,3.92
"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Yen Press,2017-06-20,Paperback,252,3.43
"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Yen Press,2017-08-08,Paperback,252,3.86
"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Yen Press,2017-06-06,Paperback,252,3.86
"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Yen Press,2017-06-20,Paperback,252,3.43
The Fantasy Fiction Formula,Deborah Chester,Manchester University Press,2016-02-01,Paperback,264,4.69
The Chinese Language: Fact and Fantasy,John DeFrancis,University of Hawaii Press,1986-03-01,Paperback,336,3.63
The Art of Final Fantasy IX,Dan Birlew,BradyGames,2000-12-08,Paperback,160,4.34
"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-07-15,Paperback,432,4.13
"Official Final Fantasy VII Strategy Guide, Playstation Version (v. 1)",David Cassady,Brady Games,1997-08-28,Paperback,224,4.34
"Fashion, Faith, and Fantasy in the New Physics of the Universe",Roger Penrose,Princeton University Press,2016-09-27,Hardcover,520,3.84
The Amazing Spider-Man & Amazing Fantasy No.15,Stan Lee,Barnes & Noble,2003-01-01,Paperback,245,4.21
