_id,ltable_ID,rtable_ID,Name_Name_jac_qgm_3_qgm_3,Name_Name_cos_dlm_dc0_dlm_dc0,Name_Name_mel,Name_Name_lev_dist,Name_Name_lev_sim,Author_Author_jac_qgm_3_qgm_3,Author_Author_cos_dlm_dc0_dlm_dc0,Author_Author_jac_dlm_dc0_dlm_dc0,Author_Author_mel,Author_Author_lev_dist,Author_Author_lev_sim,Author_Author_nmw,Author_Author_sw,Publishing_Date_Publishing_Date_lev_sim,Publishing_Date_Publishing_Date_jar,Publishing_Date_Publishing_Date_jwn,Publishing_Date_Publishing_Date_exm,Pages_Pages_exm,Pages_Pages_anm,Pages_Pages_lev_dist,predicted
281,144,2420,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.9,0.9666666388511658,0.9799999594688416,0.0,1.0,1.0,0.0,1.0
283,67,2429,0.7796610169491526,0.8819171036881969,0.9672726988792419,9.0,0.8363636363636364,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,0.9,0.9666666388511658,0.9799999594688416,0.0,1.0,1.0,0.0,1.0
286,171,2431,0.631578947368421,0.7745966692414834,0.7491829991340637,10.0,0.7058823529411764,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,0.8,0.8666666746139526,0.9200000166893005,0.0,1.0,1.0,0.0,1.0
288,1038,2462,0.6341463414634146,0.8164965809277261,0.9405405521392822,11.0,0.7027027027027026,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.7,0.8259259462356567,0.8955555558204651,0.0,0.0,0.9942857142857143,1.0,1.0
293,395,2501,0.5257731958762887,0.5477225575051661,0.8563447594642639,59.0,0.45871559633027525,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.8,0.9333333373069763,0.9599999785423279,0.0,1.0,1.0,0.0,1.0
306,41,2611,0.7692307692307693,0.8528028654224417,0.9265822768211365,29.0,0.6329113924050633,1.0,1.0,1.0,1.0,0.0,1.0,17.0,17.0,0.9,0.9666666388511658,0.9799999594688416,0.0,0.0,0.921875,1.0,1.0
309,16,2615,0.5263157894736842,0.629940788348712,0.9116376638412476,16.0,0.6595744680851063,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.6,0.800000011920929,0.8799999952316284,0.0,1.0,1.0,0.0,1.0
323,377,2616,0.7066666666666667,0.8888888888888888,0.9422385692596436,10.0,0.8461538461538461,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,0.8,0.9333333373069763,0.9599999785423279,0.0,0.0,0.9411764705882353,2.0,1.0
334,497,2681,0.8088235294117647,0.9128709291752769,0.9410256147384644,23.0,0.7051282051282051,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.9,0.9666666388511658,0.9799999594688416,0.0,1.0,1.0,0.0,1.0
336,101,2693,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,8.0,0.8,0.9333333373069763,0.9599999785423279,0.0,1.0,1.0,0.0,1.0
343,86,2720,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.9,0.8925926089286804,0.9355555772781372,0.0,1.0,1.0,0.0,1.0
344,1222,2723,0.8125,0.8181818181818182,0.9790640473365784,4.0,0.9310344827586207,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.5,0.7833333611488342,0.8266667127609253,0.0,0.0,0.9053030303030303,2.0,1.0
345,619,2733,0.8837209302325582,0.8783100656536799,0.9661028981208801,3.0,0.9772727272727273,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.6,0.8107143044471741,0.8485714197158813,0.0,1.0,1.0,0.0,1.0
348,487,2762,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.9,0.9666666388511658,0.9799999594688416,0.0,1.0,1.0,0.0,1.0
349,1222,2764,0.8709677419354839,0.9090909090909091,0.9860837459564209,3.0,0.9482758620689655,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.8,0.9333333373069763,0.9599999785423279,0.0,1.0,1.0,0.0,1.0
356,107,2806,0.8311688311688312,0.8333333333333335,0.9856314659118652,4.0,0.9428571428571428,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,0.5,0.7783069014549255,0.8448148369789124,0.0,0.0,0.962890625,3.0,1.0
369,347,2847,0.5263157894736842,0.629940788348712,0.9116376638412476,16.0,0.6595744680851063,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.6,0.7833333611488342,0.8700000047683716,0.0,1.0,1.0,0.0,1.0
376,204,2885,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.8,0.9333333373069763,0.9599999785423279,0.0,0.0,0.9409722222222222,2.0,1.0
378,16,2888,0.5454545454545454,0.629940788348712,0.9181554913520813,15.0,0.6808510638297872,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.7,0.8666666746139526,0.9200000166893005,0.0,0.0,0.8,2.0,1.0
379,387,2888,0.5454545454545454,0.629940788348712,0.9181554913520813,15.0,0.6808510638297872,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.6,0.7523809671401978,0.8514285683631897,0.0,0.0,0.8,2.0,1.0
381,436,2888,0.5454545454545454,0.629940788348712,0.9181554913520813,15.0,0.6808510638297872,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.6,0.800000011920929,0.8600000143051147,0.0,0.0,0.8,2.0,1.0
384,347,2888,0.5454545454545454,0.629940788348712,0.9181554913520813,15.0,0.6808510638297872,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.6,0.7833333611488342,0.8700000047683716,0.0,0.0,0.8,2.0,1.0
385,13,2888,0.6346153846153846,0.7559289460184544,0.9284825921058655,14.0,0.7021276595744681,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.7,0.8583333492279053,0.9150000214576721,0.0,0.0,0.8,2.0,1.0
386,451,2888,0.5454545454545454,0.629940788348712,0.9181554913520813,15.0,0.6808510638297872,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.6,0.7306878566741943,0.8114814758300781,0.0,0.0,0.8,2.0,1.0
396,382,2956,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.8,0.9333333373069763,0.9599999785423279,0.0,1.0,1.0,0.0,1.0
397,557,2957,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.8,0.9333333373069763,0.9599999785423279,0.0,0.0,0.9678362573099415,2.0,1.0
398,138,2965,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,0.9,0.9666666388511658,0.9799999594688416,0.0,1.0,1.0,0.0,1.0
403,611,2994,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0,17.0,0.9,0.9666666388511658,0.9799999594688416,0.0,1.0,1.0,0.0,1.0
405,401,2995,0.5652173913043478,0.6454972243679029,0.9188405871391296,28.0,0.5942028985507246,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.9,0.9666666388511658,0.9799999594688416,0.0,1.0,1.0,0.0,1.0
408,10,2999,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.6,0.7833333611488342,0.8483333587646484,0.0,1.0,1.0,0.0,1.0
970,404,845,1.0,1.0,1.0,0.0,1.0,0.9834491958703098,0.9920741680968554,0.9871441689623509,0.997206436208457,0.19559228650137742,0.9896251581023093,12.887052341597796,12.920110192837466,0.8,0.9333333373069763,0.9599999785423279,0.0,1.0,1.0,0.0,1.0
