ID,Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
2217,Cast in Deception (The Chronicles of Elantra),Michelle Sagara,MIRA,2018-1-23,Paperback,512.0,4.4
2218,The Skull Throne: Book Four of The Demon Cycle,Peter V. Brett,Del Rey,2016-1-26,Kindle,672.0,4.0
2219,"Blood of the Fold (Sword of Truth, Book 3)",Terry Goodkind,Tor Fantasy,1997-8-15,Paperback,640.0,4.5
2220,The Black Company (Chronicles of The Black Company #1),Glen Cook,Tor Fantasy,1992-3-15,Paperback,320.0,3.9
2221,"2: Dragons of Winter Night (Dragonlance Chronicles, Volume II)",Margaret Weis,Wizards of the Coast,2000-4-1,Hardcover,400.0,4.7
2222,"Memories of Ice (The Malazan Book of the Fallen, Book 3)",Steven Erikson,Tor Fantasy,2006-8-1,Hardcover,925.0,4.6
2223,The Crown Tower (The Riyria Chronicles),Michael J. Sullivan,Orbit,2013-8-6,Paperback,432.0,4.7
2224,The Rose and the Thorn (The Riyria Chronicles),Michael J. Sullivan,Orbit,2013-9-17,Hardcover,384.0,4.7
2225,Stiletto: A Novel (The Rook Files),Daniel O'Malley,Back Bay Books,2017-4-18,Paperback,592.0,4.5
2226,Deadhouse Gates: A Tale of The Malazan Book of the Fallen,Steven Erikson,Tor Fantasy,2006-2-7,Kindle,843.0,4.4
2227,"Dragons of Spring Dawning (Dragonlance Chronicles, Book 3)",Margaret Weis,Wizards of the Coast,1999-11-1,Hardcover,384.0,4.6
2228,"House of Chains (The Malazan Book of the Fallen, Book 4)",Steven Erikson,Tor Fantasy,2007-3-6,Kindle,1036.0,4.5
2229,Taerak's Void (Fantastica),M R Mathias,Mathias Publishing,2018-1-1,Paperback,,4.4
2230,International (Monster Hunter),Larry Correia,Baen,2009-7-28,Paperback,736.0,4.5
2231,Zera: Dawn Of The Redborn (Ascension Of A King),Lorenzo Lionheart,Independently published,2018-3-4,Kindle,152.0,5.0
2232,The Way of Shadows: The Night Angel Trilogy: Book 1,Brent Weeks,Orbit,2008-10-1,Kindle,645.0,4.3
2233,King of Thorns  (The Broken Empire),Mark Lawrence,Ace,2013-7-30,Hardcover,432.0,4.5
2234,"Ship of Magic (The Liveship Traders, Book 1)",Robin Hobb,Spectra,1999-2-2,Paperback,832.0,4.4
2235,The Buried Giant (Vintage International),Kazuo Ishiguro,Vintage,2016-1-5,Kindle,336.0,3.7
2236,"Magician: Master (Riftwar Saga, Book 2)",Raymond E. Feist,Spectra,1994-1-1,Kindle,499.0,4.6
2237,Trapped (Iron Druid Chronicles),Kevin Hearne,Del Rey,2012-11-27,Paperback,298.0,4.6
2238,Tricked (Iron Druid Chronicles),Kevin Hearne,Del Rey,2012-4-24,Paperback,368.0,4.6
2239,Magic Bites,Ilona Andrews,Ace,2007-3-27,Hardcover,260.0,4.4
2240,"The Legacy: Legend of Drizzt, Book VII (The Legend of Drizzt)",R.A. Salvatore,Wizards of the Coast,2008-4-1,Paperback,352.0,4.6
2241,"Rise of the King: Companions Codex, II (Forgotten Realms: Companions Codex)",R. A. Salvatore,Wizards of the Coast,2015-2-3,Paperback,428.0,4.7
2242,NEKOMONOGATARI (BLACK): Cat Tale,NISIOISIN,Vertical,2017-12-8,Kindle,290.0,4.7
2243,Hexed (Iron Druid Chronicles),Kevin Hearne,Del Rey,2011-6-7,Kindle,320.0,4.6
2244,The Daylight War: Book Three of The Demon Cycle,Peter V. Brett,Del Rey,2013-9-24,Paperback,704.0,4.2
2245,Strange Practice (A Dr. Greta Helsing Novel),Vivian Shaw,Orbit,2017-7-25,Kindle,400.0,4.4
2246,Reaper Man (Discworld),Terry Pratchett,Harper,2013-7-30,Kindle,352.0,4.8
2247,"Soul of the Fire (Sword of Truth, Book 5)",Terry Goodkind,Tor Fantasy,2000-3-15,Paperback,800.0,4.0
2248,Prophecy's Daughter (The Endarian Prophecy),Richard Phillips,47North,2018-1-9,Kindle,302.0,4.7
2249,Vengeance of the Iron Dwarf (Forgotten Realms: Companions Codex),R. A. Salvatore,Wizards of the Coast,2015-8-4,Paperback,,4.7
2250,The First Law Trilogy,Joe Abercrombie,Orbit,2016-11-15,Kindle,1680.0,4.6
2251,"Servant of the Shard (Forgotten Realms: The Sellswords, Book 1)",R.A. Salvatore,Wizards of the Coast,2005-5-1,Kindle,384.0,4.6
2252,Red Country (First Law World),Joe Abercrombie,Orbit,2013-10-15,Kindle,480.0,4.5
2253,The Black Tides of Heaven (The Tensorate Series),JY Yang,Tor.com,2017-9-26,Kindle,240.0,4.6
2254,A Second Chance: The Chronicles of St. Mary's Book Three,Jodi Taylor,Night Shade Books,2016-9-13,Paperback,348.0,4.6
2255,"Mad Ship (The Liveship Traders, Book 2)",Robin Hobb,Spectra,2000-2-29,Paperback,864.0,4.6
2256,Half a King (Shattered Sea),Joe Abercrombie,Del Rey,2015-1-20,Kindle,368.0,4.2
2257,"Faith of the Fallen (Sword of Truth, Book 6)",Terry Goodkind,Tom Doherty Associates,2001-11-15,Kindle,787.0,4.4
2258,Magic Slays (Kate Daniels),Ilona Andrews,Ace,2011-5-31,Paperback,320.0,4.8
2259,The Coming of Conan the Cimmerian: The Original Adventures of the Greatest Sword and Sorcery Hero of All Time!,Robert E. Howard,Del Rey,2003-12-2,Paperback,463.0,4.5
2260,"Promise of the Witch-King (Forgotten Realms: The Sellswords, Book 2) (Bk. 2)",R.A. Salvatore,Wizards of the Coast,2006-9-12,Hardcover,384.0,4.5
2261,Blood Song (A Raven's Shadow Novel),Anthony Ryan,Ace,2014-6-24,Hardcover,640.0,4.7
2262,"The Companions: The Sundering, Book I",R. A. Salvatore,Wizards of the Coast,2014-2-4,Kindle,464.0,4.7
2263,Debt of Bones (Sword of Truth Prequel Novel),Terry Goodkind,Tor Fantasy,2004-11-1,Hardcover,175.0,4.3
2264,The Kill Society: A Sandman Slim Novel,Richard Kadrey,Harper Voyager,2018-2-27,Paperback,368.0,4.7
2265,"Slave to Sensation (Psy-Changelings, Book 1)",Nalini Singh,Berkley,2006-9-5,Kindle,352.0,4.4
2266,Magic Rises (Kate Daniels),Ilona Andrews,Ace,2013-7-30,Paperback,368.0,4.8
2267,The Fall of Dragons (The Traitor Son Cycle),Miles Cameron,Orbit,2017-10-31,Hardcover,688.0,4.6
2268,Night Watch: A Novel of Discworld,Terry Pratchett,Harper,2014-7-29,Paperback,464.0,4.7
2269,"The Silent Blade: The Legend of Drizzt, Book XI",R.A. Salvatore,Wizards of the Coast,2009-2-3,Paperback,416.0,4.4
2270,The Reluctant Queen: Book Two of The Queens of Renthia,Sarah Beth Durst,Harper Voyager,2018-1-30,Hardcover,416.0,4.7
2271,The Hobbit: An Illustrated Edition of the Fantasy Classic,J. R. R. Tolkien,Ballantine Books,2001-5-29,Hardcover,133.0,4.7
2272,Prince of Fools (The Red Queen's War),Mark Lawrence,Ace,2015-5-26,Kindle,400.0,4.2
2273,"Silverthorn (Riftwar Saga, Volume 3)",Raymond E. Feist,Bantam Books,1986-9-1,Paperback,343.0,4.5
2274,Half the World (Shattered Sea),Joe Abercrombie,Del Rey,2015-7-28,Kindle,400.0,4.5
2275,"Wheel of Time, Boxed Set IV: Crossroads of Twilight, Knife of Dreams, Gathering Storm",Robert Jordan,Tor Fantasy,2011-11-1,Kindle,,4.6
2276,World of Warcraft: Rise of the Horde (Blizzard Legends),Christie Golden,Blizzard Entertainment,2016-11-15,Hardcover,355.0,4.7
2277,"The Belgariad, Vol. 2 (Books 4 & 5): Castle of Wizardry, Enchanters' End Game",David Eddings,Del Rey,2002-8-27,Kindle,496.0,4.6
2278,"The Sword of Truth, Boxed Set III, Books 7-9: The Pillars of Creation, Naked Empire, Chainfire",Terry Goodkind,Tor Fantasy,2006-10-3,Kindle,2405.0,4.5
2279,"A Knight of the Word (The Word and the Void Trilogy, Book 2)",Terry Brooks,Del Rey,1999-6-28,Kindle,408.0,4.3
2280,The First Confessor: The Legend of Magda Searus,Terry Goodkind,Tor Fantasy,2016-6-28,Kindle,640.0,4.6
2281,"Charon's Claw: Neverwinter Saga, Book III",R. A. Salvatore,Wizards of the Coast,2013-2-5,Hardcover,448.0,4.6
2282,"Chainfire: Chainfire Trilogy, Part 1 (Sword of Truth, Book 9)",Terry Goodkind,Tor Fantasy,2005-11-29,Kindle,768.0,4.1
2283,Naked Empire (Sword of Truth),Terry Goodkind,Tor Fantasy,2004-6-1,Paperback,752.0,3.8
2284,The Lore of the Evermen (The Evermen Saga),James Maxwell,47North,2014-8-26,Kindle,512.0,4.7
2285,"A Darkness at Sethanon (The Riftwar Saga, Vol. 4)",Raymond Feist,Spectra,1987-1-1,Kindle,448.0,4.5
2286,Books of the South: Tales of the Black Company (Shadow Games / Dreams of Steel / The Silver Spike),Glen Cook,Tor Books,2008-6-10,Hardcover,672.0,4.3
2287,Dark Territory: Benjamin Ashwood Book 3,AC Cobble,Cobble Publishing LLC,2017-6-1,Paperback,418.0,4.8
2288,Benjamin Ashwood: Benjamin Ashwood Book 1,AC Cobble,Cobble Publishing LLC,2016-5-27,Kindle,406.0,4.5
2289,Smoke Eaters,Sean Grigsby,Angry Robot,2018-3-6,Kindle,336.0,4.6
2290,The Liar's Key (The Red Queen's War),Mark Lawrence,Ace,2016-5-31,Paperback,496.0,4.5
2291,Pyramids (Discworld),Terry Pratchett,Harper,2013-4-30,Kindle,368.0,4.5
2292,Dragonsdawn (Dragonriders of Pern Series),Anne McCaffrey,Del Rey,1989-8-13,Kindle,384.0,4.7
2293,"Siege of Darkness: The Legend of Drizzt, Book 9",R. A. Salvatore,Wizards of the Coast,2008-6-3,Hardcover,384.0,4.6
2294,"Road of the Patriarch (Forgotten Realms: The Sellswords, Book 3)",R.A. Salvatore,Wizards of the Coast,2007-7-10,Paperback,384.0,4.4
2295,The Hundred Thousand Kingdoms (The Inheritance Trilogy),N. K. Jemisin,Orbit,2010-10-1,Hardcover,425.0,4.1
2296,"The Runes of the Earth (The Last Chronicles of Thomas Covenant, Book 1)",Stephen R. Donaldson,Ace,2005-8-30,Kindle,560.0,3.9
2297,All the Weyrs of Pern (Dragonriders of Pern),Anne McCaffrey,Del Rey,1992-10-24,Kindle,448.0,4.7
2298,The Grace of Kings (The Dandelion Dynasty),Ken Liu,Saga Press,2016-8-9,Hardcover,656.0,3.8
2299,The Red Knight (The Traitor Son Cycle),Miles Cameron,Orbit,2013-1-22,Kindle,672.0,4.3
2300,The Salmon of Doubt,Douglas Adams,Del Rey,2005-4-26,Kindle,292.0,4.5
2301,The Goblin Emperor,Katherine Addison,Tor Fantasy,2015-3-3,Kindle,512.0,4.3
2302,Toll the Hounds: Book Eight of The Malazan Book of the Fallen,Steven Erikson,Tor Fantasy,2009-8-4,Kindle,1280.0,4.2
2303,Nevernight: Book One of the Nevernight Chronicle,Jay Kristoff,A Thomas Dunne Book for St. Martin's Griffin,2017-6-20,Paperback,464.0,4.6
2304,The Killing Moon,N. K. Jemisin,Orbit,2012-0-0,Kindle,448.0,4.4
2305,"Across the Nightingale Floor (Tales of the Otori, Book 1)",Lian Hearn,Riverhead Books,2003-6-3,Paperback,305.0,4.4
2306,Jingo: A Novel of Discworld,Terry Pratchett,Harper,2014-4-29,Paperback,464.0,4.6
2307,"Gauntlgrym: Neverwinter Saga, Book I",R.A. Salvatore,Wizards of the Coast,2011-7-5,Kindle,400.0,4.3
