ID,Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
0,Age of Myth: Book One of The Legends of the First Empire,Michael J. Sullivan,Del Rey,2017-1-31,Paperback,464.0,4.5
1,Rise of the Dragons (Kings and Sorcerers--Book 1),Morgan Rice,Morgan Rice,2017-8-4,Hardcover,217.0,4.1
2,The Book of Deacon (Volume 1),Joseph Lallo,CreateSpace Independent Publishing Platform,2012-3-18,Kindle,322.0,4.3
3,A Quest of Heroes: Book #1 in the Sorcerer's Ring,Morgan Rice,Morgan Rice,2012-12-3,Hardcover,234.0,3.6
4,Fantasia: An Algerian Cavalcade,Dorothy S. Blair,Heinemann,1993-3-15,Kindle,227.0,4.2
5,The Fantasy Baseball Black Book 2018 (Fantasy Black Book),Joe Pisapia,Independently published,2018-1-13,Kindle,157.0,4.6
6,Fantasy Baseball for Smart People: How to Use Math and Psychology to Win at DFS,Jonathan Bales,CreateSpace Independent Publishing Platform,2017-3-23,Paperback,178.0,4.5
7,"Final Fantasy XV Guide: Walkthrough, Side Quests, Bounty Hunts, Food Recipes, Cheats, Secrets and More",Victor Arthur,CreateSpace Independent Publishing Platform,2017-1-9,Paperback,296.0,3.7
8,"Power, Faith, and Fantasy: America in the Middle East: 1776 to the Present",Michael B. Oren,W. W. Norton &amp,2008-2-17,Paperback,864.0,4.4
9,Fantasy Flower Garden: Adult Coloring Book of Fantastic Flowers and Friendly Animals,C L Aldridge,CreateSpace Independent Publishing Platform,2018-3-3,Paperback,102.0,5.0
10,"Fashion, Faith, and Fantasy in the New Physics of the Universe",Roger Penrose,Princeton University Press,2017-9-5,Paperback,520.0,3.8
11,The Wolf of the North: Wolf of the North Book 1 (Volume 1),Duncan M Hamilton,CreateSpace Independent Publishing Platform,2016-10-24,Paperback,326.0,4.3
12,Fantasy of Freedom (The Tainted Accords) (Volume 4),Kelly St Clare,Kelly St. Clare,2016-10-10,Hardcover,284.0,4.9
13,Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,Seven Seas,2017-6-6,Paperback,280.0,4.3
14,"Fantasia in D minor, K. 397: Sheet (Alfred Masterwork Edition)",Wolfgang Amadeus Mozart,Alfred Music,1987-4-1,Kindle,8.0,4.0
15,"Dueling with Kings: High Stakes, Killer Sharks, and the Get-Rich Promise of Daily Fantasy Sports",Daniel Barbarisi,Touchstone,2018-3-6,Hardcover,368.0,4.8
16,Grimgar of Fantasy and Ash (Light Novel) Vol. 3,Ao Jyumonji,Seven Seas,2017-10-10,Kindle,280.0,4.8
17,Basic Fantasy Role-Playing Game 3rd Edition,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-11-21,Kindle,170.0,4.8
18,Thinblade: Sovereign of the Seven Isles: Book One,David A. Wells,CreateSpace Independent Publishing Platform,2011-6-10,Hardcover,326.0,4.3
19,Empire of Storms (Throne of Glass),Sarah J. Maas,Bloomsbury USA Childrens,2017-9-5,Paperback,720.0,4.7
20,Grimgar of Fantasy and Ash (Light Novel) Vol. 6,Ao Jyumonji,Seven Seas,2018-5-15,Kindle,280.0,4.1
21,Fantasy League,Mike Lupica,Puffin Books,2015-7-14,Hardcover,320.0,4.6
22,Final Fantasy X Official Strategy Guide (Brady Games Signature Series),Dan Birlew,BRADY GAMES,2002-0-0,Kindle,272.0,4.4
23,How to Draw and Paint Fantasy Architecture: From Ancient Citadels and Gothic Castles to Subterranean Palaces and Floating Fortresses,Rob Alexander,Barron's Educational Series,2010-11-1,Paperback,128.0,4.2
24,Winning Fantasy Baseball: Secret Strategies of a Nine-Time National Champion,Larry Schechter,Emerald Book Company,2014-1-7,Paperback,360.0,4.5
25,How to Draw Fantasy Art and RPG Maps: Step by Step Cartography for Gamers and Fans,Jared Blando,IMPACT Books,2015-9-1,Hardcover,128.0,4.6
26,Fantasy of Flight (The Tainted Accords) (Volume 2),Kelly St. Clare,Kelly St. Clare,2017-3-14,Kindle,274.0,4.7
27,A Child's Work: The Importance of Fantasy Play,Vivian Gussin Paley,University of Chicago Press,2005-5-27,Paperback,111.0,4.6
28,Fantasy Baseball for Smart People: How to Profit Big During MLB Season,Jonathan Bales,CreateSpace Independent Publishing Platform,2015-2-16,Paperback,196.0,4.6
29,Writing Fantasy & Science Fiction: How to Create Out-of-This-World Novels and Short Stories,Jay Lake,Writer's Digest Books,2013-9-30,Paperback,406.0,3.9
30,Fighting Fantasy: Forest of Doom,Ian Livingstone,Scholastic,2017-9-7,Kindle,232.0,4.8
31,Final Fantasy V (Boss Fight Books),Chris Kohler,Boss Fight Books,2017-10-24,Paperback,176.0,4.9
32,The Golden Ass (Penguin Classics),Apuleius,Penguin Classics,1999-1-1,Hardcover,304.0,4.3
33,Arcane (The Arinthian Line) (Volume 1),Sever Bronny,Sever Bronny Ltd.,2014-11-26,Hardcover,366.0,4.5
34,Fantasy of Frost (The Tainted Accords) (Volume 1),Kelly St. Clare,Kelly St. Clare,2017-3-14,Hardcover,264.0,4.5
35,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,2014-2-20,Hardcover,384.0,4.4
36,Fantasy Football For Dummies,Martin Signore,For Dummies,2007-7-2,Hardcover,288.0,4.5
37,The Ballad of Titha Mae: A Fantasy in Twelve Parts,Jon B. Dalvy,Independently published,2018-1-15,Paperback,343.0,4.9
38,The Rage of Dragons,Evan Winter,Beautiful Beast,2017-9-7,Kindle,438.0,4.7
39,"Final Fantasy X-2, Official Strategy Guide",Dan Birlew,BRADY GAMES,2003-11-13,Kindle,352.0,4.3
40,"The Marechal Chronicles: Volumes I, II and III: An Erotic Fantasy Tale (Volume 1)",Aim\u00e9lie Aames,CreateSpace Independent Publishing Platform,2014-5-20,Paperback,278.0,3.3
41,The Best American Science Fiction and Fantasy 2017 (The Best American Series ®),John Joseph Adams,Mariner Books,2017-10-3,Paperback,384.0,3.2
42,Gothic - Dark Fantasy Coloring Book (Fantasy Art Coloring by Selina) (Volume 6),Selina Fenech,Fairies and Fantasy Pty Ltd,2016-3-23,Hardcover,108.0,4.7
43,"Fantasy Life: The Outrageous, Uplifting, and Heartbreaking World of Fantasy Sports from the Guy Who's Lived It",Matthew Berry,Riverhead Books,2014-7-1,Paperback,384.0,4.6
44,The Best American Science Fiction and Fantasy 2015 (The Best American Series ®),John Joseph Adams,Mariner Books,2015-10-6,Paperback,368.0,4.0
45,Color Your Fantasy II Coloring Book,Amy Brown,CreateSpace Independent Publishing Platform,2015-7-27,Paperback,40.0,4.7
46,Arousal: The Secret Logic of Sexual Fantasies,Michael J. Bader,St. Martin's Griffin,2003-1-18,Kindle,304.0,4.1
47,Sci-Fi & Fantasy Oil Painting Techniques,Patrick J. Jones,Korero Press,,Paperback,192.0,4.6
48,Reign: A Space Fantasy Romance (Strands of Starfire) (Volume 1),May Sage,Madam's Books,2018-3-1,Paperback,376.0,4.8
49,Color My Art: Surreal Fantasy: Grayscale & Underpainting Coloring Book,Ikuko,CreateSpace Independent Publishing Platform,2017-7-19,Hardcover,104.0,4.3
50,Colouring Fantasy 2 - Colouring Book by Scot Howden (Volume 2),Scot Howden,CreateSpace Independent Publishing Platform,2016-10-20,Paperback,54.0,4.6
51,Fantasia Mathematica,Clifton Fadiman,Copernicus,1997-4-1,Kindle,298.0,4.8
52,Make A Witch (A Wicked Witches of the Midwest Fantasy) (Volume 3),Amanda M. Lee,CreateSpace Independent Publishing Platform,2017-6-5,Kindle,194.0,4.6
53,The Shock of Night (The Darkwater Saga),Patrick W. Carr,Bethany House Publishers,2015-11-3,Hardcover,464.0,4.4
54,Medieval Madness: a fantasy adventure book for kids and teens aged 9-15 (Volume 1),Paul Johnson-Jovanovic,CreateSpace Independent Publishing Platform,2017-11-19,Hardcover,142.0,5.0
55,Storyworld First: Creating a Unique Fantasy World for Your Novel,Jill Williamson,Novel Teen Press,2014-8-13,Paperback,176.0,4.3
56,The Best American Science Fiction and Fantasy 2016 (The Best American Series ®),John Joseph Adams,Mariner Books,2016-10-4,Kindle,320.0,3.4
57,The Basic Fantasy Field Guide,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-11-21,Paperback,86.0,4.7
58,The Girl from Everywhere,Heidi Heilig,Greenwillow Books,2017-2-7,Hardcover,480.0,4.3
59,"Billy Joel - Fantasies & Delusions: Music for Solo Piano, Op. 1-10",Billy Joel,Hal Leonard,2001-10-1,Hardcover,96.0,4.4
60,Final Fantasy Anthology Official Strategy Guide (Brady Games),David Cassady,Brady Games,1999-11-4,Kindle,288.0,4.5
61,Benny Ricciardi's Definitive Guide to Fantasy Baseball,Benjamin Ricciardi,Benny Ricciardi,2017-3-1,Paperback,251.0,4.3
62,Fairy Fantasy: Enchanting Fairy Adult Coloring Book,Jason Hamilton,JasonHamilton.ink,2017-5-21,Kindle,82.0,4.7
63,Winter Wolf (A New Dawn Novel),Rachel M. Raithby,Skyscape,2015-10-27,Paperback,348.0,4.2
64,The lost art of how to draw fantasy females,Frank Granados,CreateSpace Independent Publishing Platform,2012-9-9,Hardcover,82.0,3.2
65,"Fairies & Fantasy: Learn to paint the enchanted world of fairies, angels, and mermaids (Watercolor Made Easy)",Meredith Dillman,Walter Foster Publishing,2009-4-15,Kindle,64.0,4.5
66,500 Science Fiction and Fantasy Writing Prompts,Julie Wenzel,CreateSpace Independent Publishing Platform,2016-10-24,Kindle,122.0,5.0
67,Kanye West's My Beautiful Dark Twisted Fantasy (33 1/3),Kirk Walker Graves,Bloomsbury Academic,2014-6-19,Hardcover,152.0,3.4
68,Witch's Reign (Desert Cursed Series Book 1) (The Desert Cursed Series) (Volume 1),Shannon Mayer,CreateSpace Independent Publishing Platform,2018-2-6,Kindle,368.0,4.8
69,Democracy and Other Neoliberal Fantasies: Communicative Capitalism and Left Politics,Jodi Dean,Duke University Press,2009-9-2,Hardcover,232.0,4.0
70,"Fantasy Coloring Adventure: A Magical World of Fantasy Creatures, Enchanted Animals, and Whimsical Scenes",Jade Summer,CreateSpace Independent Publishing Platform,2017-8-12,Kindle,86.0,4.6
71,The Change (Unbounded) (Volume 1),Teyla Branton,White Star Press,2013-1-10,Kindle,356.0,4.5
72,Enchanted - Magical Forests Coloring Collection (Fantasy Art Coloring by Selina) (Volume 3),Selina Fenech,Fairies and Fantasy Pty Ltd,2015-9-16,Hardcover,108.0,4.6
73,The New Voices of Fantasy,JY Yang,Tachyon Publications,2017-8-22,Paperback,336.0,4.5
74,The Destroyer (Volume 1),Michael-Scott Earle,CreateSpace Independent Publishing Platform,2016-2-20,Hardcover,580.0,4.3
75,Owls and Other Fantasies: Poems and Essays,Mary Oliver,Beacon Press,2006-4-1,Hardcover,88.0,4.9
76,Fantasy Map Making: A step-by-step guide for worldbuilders (Writer Resources) (Volume 2),Jesper Schmidt,CreateSpace Independent Publishing Platform,2018-1-15,Hardcover,164.0,3.7
77,Fantasy Islands: Chinese Dreams and Ecological Fears in an Age of Climate Crisis,Julie Sze,University of California Press,2015-1-5,Kindle,248.0,4.0
78,Marking Time: The Immortal Descendants: Book 1,April White,Corazon Entertainment,2012-11-5,Paperback,436.0,4.7
79,The Year's Best Fantasy and Horror: Twelfth Annual Collection (No. 12),Terri Windling,St. Martin's Griffin,1999-7-30,Hardcover,624.0,4.3
80,The Queen's Poisoner (The Kingfountain Series),Jeff Wheeler,47North,2016-4-1,Hardcover,334.0,4.5
81,The Hundredth Queen (The Hundredth Queen Series),Emily R. King,Skyscape,2017-6-1,Paperback,300.0,4.3
82,DOTTY and the Calendar House Key: (A magical fantasy adventure for 8-12 year olds) (The DOTTY Series) (Volume 1),Emma Warner-Reed,Calendar House Press,2016-11-17,Paperback,234.0,4.8
83,The Fantasy Illustrator's Technique Book (Quarto Book),Gary A. Lippincott,Barron's Educational Series,2007-2-1,Kindle,128.0,4.4
84,Writing Fantasy: The Top 100 Best Strategies For Writing Fantasy Stories,Blaine Hart,Lord Hart Productions,2017-3-23,Paperback,80.0,4.6
85,Fantasy of Fire (The Tainted Accords) (Volume 3),Kelly St. Clare,Kelly St. Clare,2016-1-14,Hardcover,294.0,4.9
86,Fantasy Genesis: A Creativity Game for Fantasy Artists,Chuck Lukacs,IMPACT Books,2010-3-10,Kindle,144.0,4.4
87,Enchantress (The Evermen Saga),James Maxwell,47North,2014-7-29,Paperback,624.0,4.3
88,Russian Fairy Tales (The Pantheon Fairy Tale and Folklore Library),Aleksandr Afanasev,Pantheon Books,1973-0-0,Hardcover,672.0,4.2
89,The Flame and the Arrow (The Annika Brisby Series) (Volume 1),Emigh Cannaday,CreateSpace Independent Publishing Platform,2010-11-22,Kindle,438.0,4.4
90,The Paladin Prophecy: Book 1,Mark Frost,Ember,2014-1-7,Hardcover,528.0,4.5
91,Undercover Magic (Dragon's Gift: The Valkyrie) (Volume 1),Linsey Hall,Bonnie Doon Press LLC,2017-11-16,Hardcover,216.0,4.5
92,Flesh for Fantasy: Producing and Consuming Exotic Dance,Merri Lisa Johnson,Seal Press,2005-12-21,Paperback,272.0,4.4
93,Harbinger of Doom (Volumes 1 - 3): Three Book Bundle,Glenn G Thater,CreateSpace Independent Publishing Platform,2017-5-19,Kindle,650.0,4.0
94,"Vietnam and Other American Fantasies (Culture, Politics, and the Cold War)",H. Bruce Franklin,University of Massachusetts Press,2001-10-25,Hardcover,272.0,3.6
95,Fairyland - A Coloring Book For Adults: Fantasy Coloring for Grownups by Molly Harrison,Molly Harrison,CreateSpace Independent Publishing Platform,2017-1-18,Hardcover,54.0,4.8
96,Private Thoughts: Exploring the Power of Women's Sexual Fantasies,Wendy Maltz,BookSurge Publishing,2008-5-2,Kindle,304.0,4.3
97,Adult Coloring Book: Dragon Life: Dragons and Dragon Masters in Fantasy Realms  35+ Original Illustrations,Nathaniel Wake,CreateSpace Independent Publishing Platform,2017-8-24,Kindle,96.0,4.9
98,Fantasy Football for Smart People: What the Experts Don't Want You to Know,Jonathan Bales,CreateSpace Independent Publishing Platform,2013-5-14,Kindle,226.0,3.9
99,Today Is Too Late (The Shedim Rebellion) (Volume 1),Burke Fitzpatrick,Blade Books LLC,2013-10-10,Kindle,356.0,4.8
100,Dreamscapes Magical Menagerie: Creating Fantasy Creatures and Animals with Watercolor,Stephanie Pui-Mun Law,IMPACT Books,2012-7-20,Kindle,176.0,4.9
101,Fantasy,Ben Fama,Ugly Duckling Presse,2015-4-1,Kindle,88.0,4.5
102,Final Fantasy Origins: Official Strategy Guide,Casey Loe,BradyGames,2003-4-19,Hardcover,256.0,4.6
103,Dragon's Blood: a Reverse Harem Fantasy Romance (The Dragon's Gift Trilogy) (Volume 2),May Sage,Dynamo Press,2017-11-11,Paperback,286.0,4.6
104,"Fantasy Football Basics: The Ultimate ""How-to"" Guide for Beginners",Sam Hendricks,Extra Point Press,2010-5-26,Kindle,160.0,4.6
105,Borrowed Magic: An Urban Fantasy Novel (Witch's Bite Series) (Volume 1),Stephanie Foxe,CreateSpace Independent Publishing Platform,2017-10-1,Hardcover,132.0,4.0
106,Final Fantasy Chronicles Official Strategy Guide: Chrono Trigger and Final Fantasy 4,Dan Birlew,Brady Games,2001-7-2,Hardcover,160.0,4.5
107,Who's Been Sleeping in Your Head: The Secret World of Sexual Fantasies,Brett Kahr,Basic Books,2009-1-27,Paperback,512.0,3.8
108,Adventure Anthology 1,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-7-27,Kindle,86.0,4.9
109,"Mermaids, Fairies & Fantasy: Grayscale Coloring Book for Grownups, Adults (Wingfeather Coloring Books) (Volume 4)",Wingfeather Coloring Books,CreateSpace Independent Publishing Platform,2015-11-4,Paperback,86.0,3.1
110,Fantasy World. Grayscale coloring book: Adult coloring book,Alena Lazareva,CreateSpace Independent Publishing Platform,2017-4-8,Paperback,68.0,4.6
111,The Sword of the Wormling,Chris Fabry,"Tyndale House Publishers, Inc.",2007-10-1,Paperback,336.0,4.9
112,Faedorables - Sweet and Simple Coloring Book (Fantasy Coloring by Selina) (Volume 14),Selina Fenech,Fairies and Fantasy Pty Ltd,2016-11-18,Hardcover,108.0,4.7
113,The Encyclopedia of Fantasy,John Grant,St. Martin's Griffin,1999-3-15,Kindle,1088.0,4.1
114,Drawing and Painting Fantasy Landscapes and Cityscapes,Martin McKenna,Barron's Educational Series,2006-7-1,Hardcover,128.0,4.3
115,Uprooted: A Novel,Naomi Novik,Del Rey,2016-3-1,Kindle,464.0,4.6
116,"Slave, Warrior, Queen (of Crowns and Glory--Book 1)",Morgan Rice,Morgan Rice,2017-8-2,Paperback,191.0,3.6
117,Official Nintendo Power FINAL FANTASY V ADVANCE Player's Guide,Nintendo Power,Nintendo of America Inc.,2006-10-30,Hardcover,128.0,4.2
118,"A World of Fairies - A Fantasy Grayscale Coloring Book for Adults: Flower Fairies, and Celestial Fairies by Molly Harrison Fantasy Art",Molly Harrison,CreateSpace Independent Publishing Platform,2017-1-18,Hardcover,56.0,4.5
119,The Seven (The Vagrant Trilogy),Peter Newman,HarperVoyager,2017-10-3,Kindle,464.0,4.6
120,"Gaming As Culture: Essays on Reality, Identity And Experience in Fantasy Games",J. Patrick Williams,McFarland,2006-3-21,Kindle,224.0,3.6
121,"Mastering Fantasy Art - Drawing Dynamic Characters: People, Poses, Creatures and More",John Stanko,IMPACT Books,2014-6-13,Paperback,144.0,3.9
122,"Truth, Fantasy, and Paradox: The Fairy Tales of George MacDonald, G.K. Chesterton, and C.S. Lewis",Jennifer Overkamp,CreateSpace Independent Publishing Platform,2014-12-4,Hardcover,346.0,4.4
123,Strongholds of Sorcery: The Glain Campaign,Chris Gonnerman,CreateSpace Independent Publishing Platform,2017-10-6,Hardcover,124.0,4.2
124,Dungeon Fantasy Companion,Christopher R. Rice,"Steve Jackson Games, Incorporated",2017-7-25,Hardcover,78.0,4.5
125,Fantasy Writing Prompts: 77 Powerful Ideas To Inspire Your Fiction (Writer's Craft) (Volume 24),Rayne Hall,CreateSpace Independent Publishing Platform,2017-3-17,Paperback,190.0,5.0
126,A Witchmas Carol: A Wicked Witches of the Midwest Fantasy (Volume 4),Amanda M. Lee,CreateSpace Independent Publishing Platform,2017-9-6,Kindle,212.0,4.6
127,Mage Slave (The Enslaved Chronicles) (Volume 1),R. K. Thorne,Iron Antler Books,2016-7-29,Hardcover,462.0,4.5
128,The Alchemist,Paulo Coelho,HarperOne,2014-4-15,Paperback,208.0,4.6
129,Fantasy Pieces: Metrical Dissonance in the Music of Robert Schumann,Harald Krebs,Oxford University Press,2003-5-22,Paperback,304.0,
130,COLORING BOOK Fantasy Mermaids & Fairies: Amazing coloring book for all ages.,Alena Lazareva,CreateSpace Independent Publishing Platform,2016-5-7,Paperback,56.0,4.6
131,Fantasy Basketball and Mathematics: Student Workbook,Dan Flockhart,Jossey-Bass,2007-3-19,Kindle,216.0,5.0
132,CRISIS CORE -FINAL FANTASY VII- Signature Series Guide (Bradygames Signature Series Guides),Joe Epstein,BRADY GAMES,2008-3-18,Paperback,272.0,4.5
133,The Cambridge Companion to Fantasy Literature (Cambridge Companions to Literature),Edward James,Cambridge University Press,2012-2-27,Kindle,294.0,4.0
134,Faedorables Minis - Pocket Sized Cute Fantasy Coloring Book (Fantasy Coloring by Selina) (Volume 16),Selina Fenech,Fairies and Fantasy Pty Ltd,2017-11-9,Paperback,106.0,5.0
135,"The Complete Guide to Writing Fantasy, Vol. 1: Alchemy with Words (The Compete Guide Series)",Tom Dullemond,Dragon Moon Press,2006-1-1,Kindle,320.0,3.8
136,"Fairies, Gnomes & Trolls: Create a Fantasy World in Polymer Clay",Maureen Carlson,North Light Books,2006-11-20,Hardcover,128.0,4.6
137,The Dark Huntsman: A fantasy romance of the Black Court (Tales of the Black Court) (Volume 1),Jessica Aspen,Abracadabra Publishing,2013-10-3,Hardcover,350.0,4.2
138,The Art of Final Fantasy IX,Dan Birlew,Brady Games,2000-12-8,Kindle,160.0,4.3
139,Official Nintendo Final Fantasy I & II: Dawn of Souls Player's Guide,Nintendo Power,Nintendo of America Inc.,2004-11-7,Paperback,152.0,4.5
140,"Carving Fantasy & Legend Figures in Wood, Revised Edition: Patterns & Instructions for Dragons, Wizards & Other Creatures of Myth",Shawn Cipa,Fox Chapel Publishing,2013-9-1,Paperback,120.0,4.5
141,Kingdom of Storms: a Reverse Harem Fantasy (The Legend of Tariel) (Volume 1),Jasmine Walt,Dynamo Press,2018-2-2,Hardcover,268.0,4.7
142,Fantasy Baseball for Smart People: The Art (and Science) of Being Contrarian in DFS,Jonathan Bales,CreateSpace Independent Publishing Platform,2016-3-6,Paperback,162.0,4.9
143,"Fantasy Magazine, Issue 60 (Dec. 2016, People of Colo(u)r Destroy Fantasy! Special Issue) (Volume 60)",Daniel Jos\u00e9 Older,CreateSpace Independent Publishing Platform,2016-12-1,Paperback,150.0,5.0
144,The Guide to Writing Fantasy and Science Fiction: 6 Steps to Writing and Publishing Your Bestseller!,Philip Athans,Adams Media,2010-7-18,Kindle,256.0,4.0
145,Rhetorics of Fantasy,Farah Mendlesohn,Wesleyan,2008-4-30,Hardcover,336.0,3.9
146,Fighting Fantasy: The Port of Peril,Ian Livingstone,Scholastic,2017-8-3,Paperback,232.0,4.5
147,"Misfits a Gothic Fantasy Coloring Book for Adults and Creepy Children: Vampires, gloom, doom, skeletons, ghosts and other spooky things. (Misfits A ... Book for Adults and ODD Children) (Volume 9)",White Stag,CreateSpace Independent Publishing Platform,2017-10-1,Kindle,54.0,4.5
148,The Fantasy of Feminist History (Next Wave Provocations),Joan Wallach Scott,Duke University Press Books,2011-11-11,Hardcover,200.0,4.0
149,"Dragons, Witches, and Other Fantasy Creatures in Origami (Dover Origami Papercraft)",Mario Adrados Netto,Dover Publications,2005-10-12,Paperback,176.0,3.6
150,Bad Guys Don't Have Birthdays: Fantasy Play at Four,Vivian Gussin Paley,University of Chicago Press,1991-5-21,Hardcover,128.0,4.4
151,"Fantasy Baseball and Mathematics: A Resource Guide for Teachers and Parents, Grades 5 and Up",Dan Flockhart,Jossey-Bass,2007-3-23,Kindle,224.0,5.0
152,Fantasy & Fairytales: by Sassy Colouring,Saskja Cook,CreateSpace Independent Publishing Platform,2018-1-24,Kindle,88.0,5.0
153,Fighting Fantasy: City of Thieves,Ian Livingstone,Scholastic,2017-8-3,Hardcover,232.0,4.5
154,"The Pillar of Light: The Milana Legends, Part One, A Christian Fantasy Adventure (Volume 1)",Anna Travis,CreateSpace Independent Publishing Platform,2016-4-9,Hardcover,188.0,4.4
155,Sacrificed (The Last Oracle) (Volume 1),Emily Wibberley,CreateSpace Independent Publishing Platform,2015-1-5,Kindle,348.0,4.2
156,Draw Alien Fantasies: A step-by-step guide,Damon J. Reinagle,"Peel Productions, Incorporated",2015-2-5,Hardcover,64.0,4.9
157,Creative Haven Winged Fantasy Designs Coloring Book (Adult Coloring),Aaron Pocock,Dover Publications,2016-12-14,Paperback,64.0,4.4
158,Famous Fantasy Character Monologs: Starring the Not-so-wicked Witch And More,Rebecca Young,Meriwether Pub,2006-9-30,Paperback,135.0,3.8
159,"Fantasy Basketball and Mathematics: A Resource Guide for Teachers and Parents, Grades 5 and Up",Dan Flockhart,Jossey-Bass,2007-3-23,Hardcover,224.0,4.2
160,Final Fantasy XI Official Strategy Guide for PS2 & PC (Spring 2004 Version),Michael Lummis,Brady Games,2004-4-5,Paperback,384.0,3.8
161,Natural Witch (Magical Mayhem) (Volume 1),K.F. Breene,CreateSpace Independent Publishing Platform,2018-1-25,Hardcover,422.0,4.7
162,Fantasy 5 Formula: Win Cash 5 Lottery,Eze Ugbor,CreateSpace Independent Publishing Platform,2011-9-20,Hardcover,56.0,3.1
163,Spirited: A Reverse Harem Fantasy Romance (The Academy of Spirits and Shadows),C.M. Stunich,Independently published,2018-1-20,Hardcover,408.0,4.8
164,Magic of Thieves,C. Greenwood,CreateSpace Independent Publishing Platform,2012-12-13,Kindle,182.0,3.9
165,Once Upon a Witch: A Wicked Witches of the Midwest Fantasy Books 1-3,Amanda M. Lee,CreateSpace Independent Publishing Platform,2017-6-5,Kindle,520.0,4.3
166,The Fifth Season (The Broken Earth),N. K. Jemisin,Orbit,2015-8-4,Paperback,512.0,4.4
167,Writers of the Future Vol 33 (L. Ron Hubbard Presents Writers of the Future),Rachel Quinlan,Galaxy Press,2017-4-4,Kindle,400.0,4.8
168,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book),Joe Pisapia,Independently published,2017-1-17,Paperback,182.0,4.1
169,Shadow Descendant (Descendants) (Volume 1),L.D. Goffigan,CreateSpace Independent Publishing Platform,2017-9-25,Hardcover,298.0,4.3
170,"Cupcakes, Trinkets, and Other Deadly Magic (The Dowser Series) (Volume 1)",Meghan Ciana Doidge,Old Man in the CrossWalk Productions,2013-6-19,Hardcover,264.0,4.4
171,John Howe Fantasy Drawing Workshop,John Howe,IMPACT,2009-10-29,Paperback,128.0,4.4
172,The Jack of Souls (The Unseen Moon Series) (Volume 1),Stephen C Merlino,TORTOISE RAMPANT PRESS,2014-12-6,Hardcover,350.0,4.4
173,The Lure of Fantasy Islam: Exposing the Myths and Myth Makers,Dr. Stephen M. Kirby,CreateSpace Independent Publishing Platform,2017-5-18,Hardcover,284.0,5.0
174,Sweet Blood of Mine: Book One of the Overworld Chronicles (Volume 1),John Corwin,Raven Press,2012-3-15,Hardcover,442.0,4.4
175,Final Fantasy XV Game Guide Unofficial,The Yuw,Booksmango,2017-2-10,Paperback,46.0,3.0
176,"Companion to Narnia, Revised Edition: A Complete Guide to the Magical World of C.S. Lewis's The Chronicles of Narnia",Paul F. Ford,HarperCollins Narnia,2005-7-5,Kindle,560.0,4.4
177,"Fairies - A Coloring Book for Grownups and All Ages: Featuring 25 pages of mystical fairies, flower fairies and fairies and their friends! Suitable for kids and adults.",Molly Harrison,CreateSpace Independent Publishing Platform,2017-4-23,Kindle,52.0,4.3
178,Fantasy Swap Online: A Gender Swapped LitRPG Adventure,Alyson Belle,Independently published,2017-11-10,Paperback,168.0,4.2
179,Awaken (Awakened Fate) (Volume 1),Skye Malone,Wildflower Isle,2014-5-29,Kindle,248.0,4.3
180,Fantasy Football U: Expert Tips on How to Dominate Your Draft,Rotoworld,CreateSpace Independent Publishing Platform,2017-8-12,Kindle,224.0,5.0
181,Goddess and Mythology Coloring Book (Fantasy Coloring by Selina) (Volume 9),Selina Fenech,Fairies and Fantasy Pty Ltd,2016-7-13,Paperback,108.0,4.6
182,"Animal Mandalas: An Adult Coloring Book with Mandala Designs, Mythical Creatures, and Fantasy Animals for Inspiration and Relaxation",Jade Summer,CreateSpace Independent Publishing Platform,2016-11-19,Hardcover,106.0,4.4
183,Fantasy Snowflakes Coloring Book,J. S. Burke,Lind Press,2017-11-23,Paperback,66.0,5.0
184,"Flowers of Fantasy: A Coloring Book of Fantastical Flower Designs, Flowers in Vases, Flowers and Poetry and More!",C L Aldridge,CreateSpace Independent Publishing Platform,2017-6-3,Kindle,102.0,5.0
185,Fantasy Film: A Critical Introduction (Film Genres),James Walters,Bloomsbury Academic,2011-6-15,Paperback,192.0,
186,Diamond Dividends: Creative Strategies to Profit Through Fantasy Baseball,Mario Mergola,Mario Mergola,2017-3-13,Hardcover,114.0,5.0
187,Fairy Portraits Coloring Book: A Fantasy Coloring Adventure for Adults (Fantasy Coloring by Samantha) (Volume 2),Samantha J Lewis,CreateSpace Independent Publishing Platform,2017-11-16,Hardcover,88.0,5.0
188,The Dark Fantasy Coloring Book for Adults,Stephanie Cournoyer,CreateSpace Independent Publishing Platform,2016-1-2,Paperback,58.0,3.5
189,Fantasia of the Unconscious and Psychoanalysis and the Unconscious (Penguin Twentieth Century Classics),D. H. Lawrence,Penguin Classics,1991-1-3,Paperback,256.0,5.0
190,A Cast of Stones (The Staff and the Sword),Patrick W. Carr,Bethany House Publishers,2013-2-1,Hardcover,432.0,4.6
